                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.56835,                0.39961,                0.84978,                 0.9886,                0.99646,                0.99496,                0.65883,                 1.1317,                0.44463,                 1.0897,               0.001307,               0.001307,               0.001307
                     37,                0.55632,                0.37796,                0.85186,                0.98338,                      1,                0.98684,                0.62439,                 1.1842,                0.48552,                 1.1284,              0.0012872,              0.0012872,              0.0012872
                     38,                0.54893,                0.37713,                0.85557,                0.98814,                      1,                0.99096,                0.64035,                 1.2201,                0.49774,                 1.1591,              0.0012674,              0.0012674,              0.0012674
                     39,                0.54206,                0.37233,                0.85117,                0.98103,                      1,                0.99174,                0.60632,                 1.3485,                0.51782,                 1.2491,              0.0012476,              0.0012476,              0.0012476
                     40,                0.50922,                0.35101,                0.84894,                0.99614,                      1,                0.99496,                0.62514,                 1.2296,                0.46594,                 1.1739,              0.0012278,              0.0012278,              0.0012278
                     41,                0.52863,                0.37098,                0.84498,                0.98384,                      1,                0.99202,                0.65879,                 1.1339,                0.45146,                 1.1023,               0.001208,               0.001208,               0.001208
                     42,                0.54255,                 0.3696,                0.85142,                0.99005,                      1,                0.99454,                0.65096,                 1.2362,                0.46674,                 1.1657,              0.0011882,              0.0011882,              0.0011882
                     43,                0.52803,                 0.3564,                0.84938,                0.99414,                0.99617,                  0.995,                 0.6253,                 1.3374,                0.46451,                 1.2606,              0.0011684,              0.0011684,              0.0011684
                     44,                0.54549,                0.37788,                0.85237,                0.98361,                      1,                0.99426,                0.60351,                 1.3334,                 0.5061,                 1.2897,              0.0011486,              0.0011486,              0.0011486
                     45,                0.52481,                0.35793,                0.84429,                0.99776,                      1,                  0.995,                0.65275,                 1.2192,                0.47855,                  1.187,              0.0011288,              0.0011288,              0.0011288
                     46,                0.51241,                0.35466,                0.83969,                0.99915,                0.99617,                  0.995,                0.66247,                  1.229,                0.46536,                 1.1711,               0.001109,               0.001109,               0.001109
                     47,                0.51717,                0.35252,                 0.8443,                0.99819,                      1,                  0.995,                0.65506,                 1.2444,                0.47873,                 1.1643,              0.0010892,              0.0010892,              0.0010892
                     48,                0.53085,                0.36741,                0.84464,                0.98279,                      1,                0.99346,                0.61936,                 1.3159,                0.44834,                 1.1994,              0.0010694,              0.0010694,              0.0010694
                     49,                0.50817,                0.34614,                  0.841,                0.99378,                0.99617,                 0.9932,                0.56913,                 1.4398,                 0.5186,                 1.3191,              0.0010496,              0.0010496,              0.0010496
                     50,                0.52886,                0.35367,                0.84539,                0.98978,                      1,                0.98743,                0.60481,                 1.3759,                0.49376,                 1.2948,              0.0010298,              0.0010298,              0.0010298
                     51,                0.50284,                0.34306,                0.84507,                0.98862,                      1,                0.99364,                0.61371,                 1.3439,                0.49645,                 1.2484,                0.00101,                0.00101,                0.00101
                     52,                0.50552,                0.34145,                 0.8476,                0.98616,                      1,                0.99358,                0.63825,                 1.2169,                 0.4626,                 1.1552,              0.0009902,              0.0009902,              0.0009902
                     53,                0.50513,                0.33773,                0.83974,                0.99077,                0.99617,                0.98782,                0.60046,                 1.3775,                0.50384,                  1.278,              0.0009704,              0.0009704,              0.0009704
                     54,                0.51275,                0.34796,                0.85112,                0.99834,                      1,                  0.995,                0.63207,                 1.3055,                0.48658,                 1.2216,              0.0009506,              0.0009506,              0.0009506
                     55,                  0.508,                0.34037,                0.83874,                0.99239,                0.99983,                  0.995,                0.67049,                 1.1797,                0.43779,                 1.1401,              0.0009308,              0.0009308,              0.0009308
                     56,                0.49032,                0.32669,                0.83848,                0.98487,                      1,                0.99408,                0.64878,                 1.2899,                0.46159,                 1.1945,               0.000911,               0.000911,               0.000911
                     57,                0.48963,                0.32954,                0.84323,                0.99392,                0.99617,                  0.995,                0.65294,                 1.2929,                0.45811,                 1.1894,              0.0008912,              0.0008912,              0.0008912
                     58,                0.49363,                0.32258,                0.83594,                      1,                0.99851,                  0.995,                0.65251,                 1.2817,                0.47015,                 1.2034,              0.0008714,              0.0008714,              0.0008714
                     59,                0.48672,                0.31853,                0.84289,                0.99496,                      1,                  0.995,                 0.6325,                 1.2541,                0.45494,                 1.2136,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.5114,                  0.337,                0.85114,                0.99351,                      1,                  0.995,                0.61492,                 1.3892,                0.47606,                 1.2873,              0.0008318,              0.0008318,              0.0008318
                     61,                0.50621,                0.32957,                0.84333,                0.99752,                      1,                  0.995,                0.63226,                 1.3308,                0.46115,                 1.2512,               0.000812,               0.000812,               0.000812
                     62,                0.50392,                0.32864,                0.84488,                 0.9922,                      1,                  0.995,                0.63311,                 1.3281,                0.45748,                 1.2459,              0.0007922,              0.0007922,              0.0007922
                     63,                0.47499,                0.30942,                0.84303,                0.99179,                      1,                0.99212,                0.59423,                 1.4519,                0.50858,                 1.3386,              0.0007724,              0.0007724,              0.0007724
                     64,                0.49662,                0.32076,                 0.8496,                0.99754,                      1,                  0.995,                0.59641,                 1.4443,                0.51209,                 1.3183,              0.0007526,              0.0007526,              0.0007526
                     65,                0.50378,                0.32978,                0.84081,                0.99929,                      1,                  0.995,                0.64184,                 1.2638,                  0.446,                  1.181,              0.0007328,              0.0007328,              0.0007328
                     66,                0.49071,                0.31937,                0.84372,                0.99962,                      1,                  0.995,                0.61619,                 1.4041,                0.46263,                 1.2749,               0.000713,               0.000713,               0.000713
                     67,                0.47517,                0.30684,                0.83473,                0.99887,                      1,                  0.995,                0.60884,                 1.4386,                0.47285,                 1.2965,              0.0006932,              0.0006932,              0.0006932
                     68,                0.48934,                0.31361,                0.84185,                0.99359,                      1,                0.99233,                0.66777,                  1.232,                0.42488,                 1.1606,              0.0006734,              0.0006734,              0.0006734
                     69,                0.46091,                0.30489,                0.83009,                0.99429,                      1,                0.99275,                0.67377,                 1.1782,                0.43234,                 1.1452,              0.0006536,              0.0006536,              0.0006536
                     70,                0.48022,                0.30145,                0.83274,                0.98686,                      1,                 0.9913,                0.63165,                  1.288,                0.46789,                 1.2252,              0.0006338,              0.0006338,              0.0006338
                     71,                0.47052,                0.30279,                0.83355,                0.99194,                      1,                0.99489,                 0.6166,                 1.3433,                0.49013,                 1.2432,               0.000614,               0.000614,               0.000614
                     72,                0.45903,                0.30503,                0.83284,                0.99523,                      1,                  0.995,                0.62309,                 1.3627,                0.48499,                 1.2698,              0.0005942,              0.0005942,              0.0005942
                     73,                0.46971,                0.30922,                0.82986,                0.99247,                      1,                 0.9942,                0.65278,                 1.2392,                0.45824,                 1.2023,              0.0005744,              0.0005744,              0.0005744
                     74,                0.45731,                0.29792,                0.82966,                 0.9919,                      1,                0.99264,                0.64167,                 1.2762,                0.44618,                 1.2015,              0.0005546,              0.0005546,              0.0005546
                     75,                0.44501,                0.29175,                0.83267,                0.99229,                      1,                0.99302,                0.62036,                 1.3695,                0.45999,                 1.2672,              0.0005348,              0.0005348,              0.0005348
                     76,                0.45671,                0.29447,                 0.8333,                0.99297,                      1,                0.99492,                0.64506,                 1.2676,                0.45489,                 1.2064,               0.000515,               0.000515,               0.000515
                     77,                0.42495,                0.28156,                0.82294,                0.99276,                      1,                0.99496,                0.64328,                 1.3088,                0.45375,                 1.2317,              0.0004952,              0.0004952,              0.0004952
                     78,                0.42929,                 0.2797,                0.82731,                0.99442,                      1,                  0.995,                0.63565,                 1.3113,                 0.4528,                 1.2474,              0.0004754,              0.0004754,              0.0004754
                     79,                0.44935,                0.28408,                0.82535,                 0.9938,                      1,                0.99489,                0.64642,                 1.3005,                0.45626,                 1.2269,              0.0004556,              0.0004556,              0.0004556
                     80,                0.44282,                0.29175,                 0.8296,                0.99252,                      1,                  0.995,                0.66072,                 1.2628,                0.43892,                 1.2099,              0.0004358,              0.0004358,              0.0004358
                     81,                0.43158,                0.27632,                0.83005,                0.99181,                      1,                  0.995,                0.66482,                 1.2355,                0.44522,                 1.1828,               0.000416,               0.000416,               0.000416
                     82,                0.44019,                0.28306,                0.83164,                0.99648,                      1,                  0.995,                0.65193,                 1.3072,                0.45117,                 1.2422,              0.0003962,              0.0003962,              0.0003962
                     83,                0.40938,                0.26753,                0.82654,                0.99509,                      1,                  0.995,                 0.6478,                 1.3193,                0.44996,                 1.2246,              0.0003764,              0.0003764,              0.0003764
                     84,                0.42471,                0.27716,                0.82952,                0.99442,                      1,                0.99496,                0.62245,                 1.3824,                0.47619,                 1.3127,              0.0003566,              0.0003566,              0.0003566
                     85,                0.43747,                 0.2789,                0.83057,                0.99335,                      1,                0.99496,                0.65697,                 1.2505,                0.45044,                 1.2142,              0.0003368,              0.0003368,              0.0003368
                     86,                0.42834,                0.27578,                0.81224,                0.99253,                      1,                0.99489,                 0.6428,                 1.2964,                0.44378,                 1.2435,               0.000317,               0.000317,               0.000317
                     87,                0.41561,                0.27141,                0.81988,                0.99397,                      1,                0.99496,                0.62724,                 1.3654,                0.47082,                 1.2724,              0.0002972,              0.0002972,              0.0002972
                     88,                0.42692,                0.27601,                0.81354,                0.99531,                      1,                  0.995,                0.64107,                  1.321,                0.44135,                 1.2483,              0.0002774,              0.0002774,              0.0002774
                     89,                0.40952,                0.26693,                0.82341,                 0.9952,                      1,                  0.995,                0.67165,                 1.2363,                0.42254,                 1.1979,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.4165,                0.26511,                0.82466,                 0.9952,                      1,                  0.995,                0.62904,                 1.3575,                0.45263,                 1.2918,              0.0002378,              0.0002378,              0.0002378
                     91,                0.37618,                0.23134,                0.81174,                0.99663,                      1,                  0.995,                  0.652,                 1.2991,                0.43853,                 1.2555,               0.000218,               0.000218,               0.000218
                     92,                0.38528,                0.24063,                0.80609,                0.99345,                      1,                  0.995,                0.65136,                 1.2951,                0.44237,                 1.2429,              0.0001982,              0.0001982,              0.0001982
                     93,                0.38528,                0.23866,                0.81007,                0.99118,                      1,                0.99477,                0.65306,                 1.2846,                0.44794,                 1.2203,              0.0001784,              0.0001784,              0.0001784
                     94,                0.36972,                0.22576,                 0.8019,                0.98833,                      1,                0.99462,                0.64053,                  1.332,                0.46071,                 1.2594,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.3599,                  0.217,                0.79165,                0.98776,                      1,                0.99496,                0.65205,                 1.2895,                0.44739,                 1.2454,              0.0001388,              0.0001388,              0.0001388
                     96,                0.35614,                0.21726,                0.80497,                0.98799,                      1,                  0.995,                0.64816,                  1.315,                0.45341,                 1.2723,               0.000119,               0.000119,               0.000119
                     97,                0.36562,                0.22354,                0.80392,                 0.9882,                      1,                  0.995,                0.65913,                 1.2816,                0.43936,                 1.2356,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.3566,                0.22376,                0.80282,                0.98867,                      1,                  0.995,                 0.6465,                 1.3304,                0.45067,                 1.2619,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  0.343,                0.21313,                0.80723,                0.99282,                      1,                  0.995,                0.65636,                 1.2766,                0.43942,                 1.2235,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.3447,                 0.2112,                 0.8009,                0.99441,                      1,                  0.995,                0.65158,                 1.2933,                0.43808,                 1.2315,               3.98e-05,               3.98e-05,               3.98e-05
